community	gene
1	SLC12A5
1	ENSG00000273345
1	CDC42SE2
1	KRTAP13-1
1	ENSG00000269476
1	ZNF417
1	PALM2AKAP2
1	GLIS1
1	BRK1
1	SLC51A
1	C12orf57
1	MORF4L2
1	TCEAL8
1	GLRB
1	ANP32E
1	SLC16A14
1	DENND11
1	SYNJ2
1	CDIP1
1	YBX3
1	TRUB2
1	ADAD2
1	MUC4
1	PHIP
1	GLA
1	HNRNPH2
1	PPM1A
1	EIF4E2
1	ASXL2
1	CGREF1
1	PHF3
1	BLOC1S1
1	SDR42E1
1	UBE2V1
1	EIF4A3
1	IARS1
1	A4GALT
1	KCTD14
1	SPTAN1
1	L3MBTL3
1	MAJIN
1	DMP1
1	BSPH1
1	SLC9A3R2
1	UBXN6
1	TNFRSF14
1	ACSL3
1	TSPYL2
1	MEAF6
1	RNF6
1	B4GALNT1
1	GPR19
1	SLC25A17
1	NET1
1	IFNGR2
1	GPAT4
1	ARHGEF3
1	BCLAF1
1	C2CD2L
1	ENSG00000285171
1	LSP1
1	GJD4
1	ZNF8
1	KLHL29
1	DTWD2
1	PENK
1	PCDHGA12
1	CYFIP1
1	CHGA
1	POGLUT3
1	HID1
1	ESF1
1	NDUFAF5
1	INPP5A
1	NPM1
1	CRYL1
1	MYO5C
1	PGF
1	MEP1B
1	TRIM7
1	SEM1
1	PPP1R14A
1	ZMAT3
1	PRR7
1	ZDHHC7
1	HPS5
1	WDTC1
1	GPI
1	SF3B1
1	THOC2
1	KIAA1614
1	GAS6
1	HSPA1B
1	FPGT
1	MAP3K4
1	RIMKLB
1	CCDC107
1	NFATC1
1	ATP5F1A
1	NANOS2
1	FGD2
1	GMDS
1	GPRC5B
1	AIF1
1	SLC2A13
1	CCDC91
1	RBM22
1	ZEB2
1	MSX2
1	EZH1
1	IDH3G
1	GSC2
1	CLEC18B
1	ATP6V1A
1	CHST13
1	TKTL2
1	PLPPR3
1	ITIH4
1	NAPG
1	ZNF580
1	ZNHIT1
1	LAG3
1	ADGRB1
1	PPP1R15B
1	KIF26B
1	BDNF
1	RBBP8NL
1	ENSG00000258311
1	SLC38A7
1	ATP13A3
1	CEBPB
1	RBM8A
1	SIDT2
1	TRIM41
1	LCP2
1	HMGN4
1	LTBR
1	HHIP
1	ADHFE1
1	ERVK3-1
1	TCP10L
1	ZC3H4
1	C8orf74
1	LAIR1
1	PLEC
1	CSNK1D
1	MPC2
1	HSPA4
1	DSC3
1	RGN
1	FRG2B
1	YJU2B
1	CXCL11
1	REXO2
1	STC2
1	GTF2H1
1	PITX2
1	MATN3
1	SLC39A10
1	ASB4
1	RUNX1
1	PSMA3
1	SLC3A1
1	BORCS6
1	NCOA7
1	DOC2B
1	EN1
1	CBS
1	CPO
1	DDX1
1	RSU1
1	CDCA4
1	TCF3
1	ZRANB3
1	USP31
1	NCR2
1	HCFC1R1
1	H2BC4
1	MRGPRX4
1	NUCB2
1	GDF5
1	TEX2
1	QSOX2
1	IL34
1	MFSD13A
1	CCDC125
1	ITPK1
1	CSE1L
1	WDR89
1	MRGPRX1
1	C8orf82
1	IBA57
1	AP1G1
1	LBHD1
1	LRRFIP2
1	ESRP1
1	ATP4A
1	ACSF3
1	PCIF1
1	WDR75
1	IFITM1
1	C8orf33
1	STUB1
1	GPR15LG
1	MRPS27
1	EIF5
1	SELENON
1	PTX3
1	ZNF20
1	POLR2B
1	RFLNA
1	TMEM184B
1	NAALADL1
1	CLIP4
1	IQCF5
1	PRR29
1	NANS
1	HTATIP2
1	MAT2B
2	JCHAIN
2	ACTL7B
2	TREM1
2	FAM90A27P
2	PCDHA5
2	CEACAM19
2	SERPINB13
2	GARIN2
2	ZCCHC18
2	GRAMD1B
2	SPTBN2
2	NLRP4
2	ENSG00000251357
2	C15orf62
2	KRT37
2	ANKRD1
2	PEX19
2	SPRYD4
2	PCDHGA9
2	TRIM23
2	SASH1
2	KLC1
2	C12orf75
2	KRT83
2	ATP13A5
2	STRADA
2	LRRC49
2	PRRT1B
2	PLEKHG7
2	DNAJC27
2	TNFRSF11B
2	ACOT2
2	C17orf107
2	TARS2
2	HCN4
2	LPA
