TF	community
RARG	13
PPARG	13
ESRRA	13
Ppara	13
ESRRB	13
NR5A1	13
Nr5A2	13
ETS2	32
FLI1	32
FOXO1::ELK1	14
ETV5::DRGX	32
ETV5::FOXO1	14
Esrrg	27
POU2F1	27
FEZF2	35
ZNF770	35
Zfp809	3
ZNF460	35
ZNF213	35
FOSB::JUN	4
FOS::JUN	11
FOSL1::JUND	11
Foxo1	8
FOXG1	8
Foxo3	8
FOXK1	8
FOXA2	8
Foxl2	8
FOXK2	8
FOXS1	8
Foxf1	8
FOXA3	8
FOXP1	8
FOXP4	8
FOXC2	29
FOXE1	29
SOX15	29
GATA1	36
Gata3	36
GATA4	36
TRPS1	36
GATA6	36
GATA2	36
MAFA	11
GBX2	0
MIXL1	0
Msx3	0
GLI3	18
GLIS1	34
ZIC4	34
ZIC1	34
VEZF1	34
ZIC5	34
GLIS3	34
KLF7	24
GRHL1	37
TFCP2	37
GRHL2	3
SCRT2	3
SCRT1	3
IKZF1	14
KLF4	23
Gli2	18
KLF9	18
HES1	1
HEY1	1
TCFL5	1
ZBTB14	24
Nrf1	24
HES6	1
HINFP	38
ZNF343	38
POU3F4	27
HMBOX1	39
HOXC11	39
HNF1B	8
HNF4A	13
HNF4G	13
PPARD	13
RXRG	13
RXRB	13
Rxra	13
HOXC12	39
HOXC13	39
ZNF184	39
Stat2	40
IRF7	39
HOXD12	39
HSF1	40
HSF4	40
ZBTB26	40
HSF2	40
ZBTB12	40
Hand1	3
ZNF331	3
Hic1	41
NFIB	41
Hmx2	5
Hnf1A	27
Lef1	27
IKZF2	14
IRF3	40
ZBED2	40
Nfatc2	40
IRF4	40
Irf1	40
ZNF766	40
Prdm4	40
IRF5	40
IRF6	42
IRF9	42
Vdr	39
POU6F2	39
Isl1	43
Spz1	43
KLF1	24
SP4	24
KLF11	31
KLF2	31
PATZ1	23
KLF17	18
KLF3	24
ZNF281	23
LBX2	0
LHX6	44
POU4F2	44
SOX13	7
MAF	11
Mafg	11
Nfe2l2	17
MAFF	3
Zic2	3
Mafb	3
MAX::MYC	1
MAZ	23
ZNF148	23
MEIS1	46
PBX2	46
MEIS2	46
MEIS3	40
MGA::EVX1	47
TBX5	47
MITF	16
TFEB	16
USF1	16
MSANTD3	39
MTF1	27
TP53	22
MYBL1	40
MYBL2	40
SNAI2	2
MZF1	23
ZNF701	23
ZNF816	3
NFKB1	23
RELB	23
Msgn1	48
ZNF214	48
TGIF2LY	12
NFIC	49
NFIC::TLX1	49
NFIX	49
NFKB2	8
ZNF354A	8
PBX3	12
PKNOX1	12
NFYC	12
NFYB	12
Nanog	12
NKX2-2	12
NKX2-5	18
TBXT	18
NKX6-2	0
NR1D1	13
NR1D2	13
NR1H4::RXRA	13
NR4A2::RXRA	13
RARA::RXRA	13
NR1I2	50
ZNF652	50
NR2F1	13
Nr2f6	13
PPARA::RXRA	13
NR2F2	13
ZBTB18	6
NR4A1	51
Pparg::Rxra	51
NR6A1	13
Nkx2-1	3
Nfat5	40
Nfatc1	40
Nkx3-2	3
ZSCAN21	3
ZNF157	3
Npas4	13
PAX5	13
